"","Nutlin-3","PHA-665752","Sorafenib","17-AAG","PLX4720","Paclitaxel","Erlotinib","Lapatinib","AZD0530","TAE684","PD-0332991","AZD6244","Nilotinib","PD-0325901"
"DATA.909723",3.5,3.06,1.59,0.19,-0.04,-0.95,2.3,2.65,2.68,2.32,3.73,-0.36,2.23,-4.57
"DATA.909720",3.9,-0.54,1.55,-0.46,3.15,-5.36,3.03,1.42,3.04,0.1,0.65,-0.15,3,-2.73
"DATA.909717",1.24,3.6,2.3,-1.39,4.78,-3.89,3.15,2.57,3.05,-0.34,0.1,0.88,3.51,-2.29
"DATA.909713",1.99,3.89,-0.51,-2.04,-0.59,-4.86,4.1,3.85,1.16,0.52,1.54,-0.97,4,-4.5
"DATA.909712",4.63,3.36,0.52,0.85,5.03,-2.56,3.36,3.23,0.87,-0.14,2.08,2.25,2.82,-2.35
"DATA.909701",1.67,3.64,3.29,1.06,3.98,-4.81,2.25,2.5,1.02,1.13,3.17,2.55,3.01,1.15
"DATA.909698",1.1,3,1.31,-2.03,3.83,-5.69,2.94,1.94,2.63,0.45,0.33,1.14,1.61,-3.45
"DATA.909697",2.21,3.63,2.04,2.31,3.84,-4.28,3.2,3.48,1.81,1.48,2.38,3.96,3.44,0.58
"DATA.909696",2.04,2.06,2.78,2.08,3.6,-0.81,2.92,2.37,2.39,1.69,-0.71,3.65,2.18,0.99
"DATA.909262",4,3.16,2.54,2.04,3.71,-2.22,3.16,2.92,3.12,3.16,3.68,2.79,3.16,1.08
"DATA.909260",4.26,2.64,1.73,2.08,4.45,-3.99,2.12,1.41,1.08,0.1,1.22,3.54,2.9,0.83
"DATA.909253",3.82,2.43,2.98,1.69,3.76,-0.53,2.44,2.38,2.43,2.42,3.13,1.45,2.37,-1.33
"DATA.909252",1.75,2.54,1.93,1.29,2.39,-1.19,2.59,2.19,2.1,1.43,-0.3,2.94,1.92,0.52
"DATA.909250",1.73,4.11,1.95,-1.29,4.86,-2.34,-0.38,0.36,0.66,0.35,-0.54,1.57,3.05,-2.56
"DATA.909249",4.09,2.71,1.58,1.85,3.47,-3.25,2.7,2.71,2.68,-1.44,3.38,3.35,2.71,0.6
"DATA.909248",1.43,3.42,1.79,1.03,4.43,-4.24,2.49,2.56,3.39,0.79,-0.93,-1.9,2.47,-4.34
"DATA.908483",3.76,2.1,2.03,1.85,3.7,-4.67,2.87,2.7,1.45,-0.29,3.14,3.6,2.3,0.91
"DATA.908457",2.16,3.68,2.73,-1.18,5.37,-3.98,1.21,1.48,0.79,-0.62,0.08,-1.86,3.71,-3.32
"DATA.908451",2.39,2.62,1.95,0.09,5.07,-4.15,3.31,3.46,2.92,0.82,0.04,-1.77,1.2,-5.33
"DATA.908450",5.06,3.93,1.02,-0.92,4.15,-3.53,1.82,3.97,3.53,1.8,4.04,2.46,2.86,0.77
"DATA.908449",2.65,3.64,2.61,-1.21,2.68,-3.66,1.02,1.28,1.34,-0.32,2.09,-0.39,3.22,-0.3
"DATA.908448",0.51,1.95,-3.67,-1.68,4.77,-3.27,3.13,2.68,2.75,0.22,0.81,1,0.05,-1.93
"DATA.908447",1.6,3.56,3.9,0.25,4.95,0.53,3.59,3.52,3.53,1.89,1.08,2.15,3.52,-0.92
"DATA.908445",4.54,-2.94,3,-3.29,4.8,-3.98,3.36,3.06,3.35,3.02,1.99,2.08,3.25,-2.24
"DATA.908444",3.26,2.26,0.75,0.65,3.71,-1.66,1.53,3.4,1.78,0.27,3.53,2.92,2.98,0.93
"DATA.908159",3.61,1.14,1.23,0.9,3.45,-5.57,2.36,2.35,1.13,0.12,2.05,2.9,2.69,0.49
