"","Nutlin-3","PHA-665752","Sorafenib","17-AAG","PLX4720","Paclitaxel","Erlotinib","Lapatinib","AZD0530","TAE684","PD-0332991","AZD6244","Nilotinib","PD-0325901"
"DATA.906862",0,0,0,1,0,1,0,0,0,0,0,0,0,1
"DATA.906861",0,0,0,1,0,1,0,0,0,1,0,0,0,1
"DATA.906856",0,0,0,1,0,1,0,0,0,0,1,1,1,1
"DATA.906855",0,0,1,0,0,1,0,0,1,1,1,1,1,1
"DATA.906847",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.906846",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.906844",0,0,0,1,1,1,0,0,0,1,0,1,0,1
"DATA.906841",0,0,0,1,0,1,0,0,0,0,0,0,0,1
"DATA.906838",0,0,0,1,0,1,0,0,0,0,1,0,0,0
"DATA.906836",0,0,0,1,0,1,0,0,0,1,0,0,0,1
"DATA.906834",0,0,0,1,0,1,0,0,0,1,1,0,0,1
"DATA.906831",0,0,0,0,0,1,0,0,0,1,0,0,0,0
"DATA.906813",0,0,0,1,0,1,0,0,0,1,1,0,0,1
"DATA.906812",0,0,0,1,0,1,0,0,0,0,0,0,0,0
"DATA.906808",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.906800",0,0,1,1,0,1,0,0,0,1,1,0,0,1
"DATA.906794",0,0,0,1,0,1,1,1,0,0,0,0,0,1
"DATA.906765",0,0,0,0,0,1,0,0,0,1,0,0,0,0
"DATA.906763",0,0,1,0,0,1,0,0,0,1,1,0,1,0
"DATA.906746",0,0,0,1,0,1,0,0,0,0,1,0,0,1
"DATA.905990",0,0,0,0,0,1,0,0,0,1,0,1,0,1
"DATA.905989",0,0,1,1,0,1,0,0,0,1,1,0,0,1
"DATA.905986",0,0,0,1,0,1,0,0,0,1,1,0,0,1
"DATA.905984",0,0,0,1,0,1,0,0,0,1,0,0,0,1
"DATA.905982",0,0,0,1,0,1,0,0,0,0,0,0,0,1
"DATA.905980",0,0,0,1,0,1,1,0,1,1,0,1,0,1
"DATA.905978",0,0,0,1,0,1,0,0,1,1,1,0,0,1
"DATA.905977",0,0,0,1,1,1,0,0,0,0,0,1,0,1
"DATA.905972",0,0,1,1,0,1,0,0,0,1,0,1,0,1
"DATA.905967",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.905958",0,0,0,0,0,1,0,0,0,1,1,0,0,1
"DATA.905955",0,0,0,1,0,1,0,0,0,0,0,1,0,1
"DATA.905952",0,0,0,1,0,1,0,0,0,1,1,0,0,1
"DATA.905942",0,0,0,1,0,1,0,0,0,0,0,0,0,1
"DATA.905940",0,0,0,1,0,1,0,0,1,0,0,1,1,1
"DATA.905938",0,0,0,1,0,1,0,0,0,1,1,1,0,1
"DATA.753623",0,0,0,1,0,1,0,0,1,1,1,0,0,1
"DATA.753621",0,0,0,1,0,1,1,1,1,1,0,0,0,1
"DATA.753620",0,0,0,0,0,1,0,0,0,0,1,0,0,1
"DATA.753618",0,0,0,1,0,1,0,0,0,0,1,0,0,1
"DATA.753616",0,0,0,1,0,1,0,0,0,1,1,0,0,1
"DATA.753614",0,0,0,1,0,1,0,0,1,1,0,0,0,1
"DATA.753612",0,0,0,0,0,1,0,0,0,1,0,0,0,0
"DATA.753595",0,0,0,0,0,1,0,0,0,1,1,1,0,1
"DATA.753594",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.753592",0,0,0,1,0,1,0,0,0,1,1,0,0,1
"DATA.753589",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.753588",0,0,0,1,0,1,0,0,0,1,0,0,0,0
"DATA.753583",0,0,0,0,0,1,0,0,0,1,0,0,0,0
"DATA.753582",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"DATA.753581",0,0,0,0,0,1,0,0,0,0,0,1,0,1
"DATA.753579",0,0,1,1,0,1,0,0,0,0,0,1,0,1
"DATA.753565",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"DATA.753564",0,0,0,1,0,1,0,0,0,0,0,0,0,0
"DATA.753563",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"DATA.753555",0,0,0,1,0,1,0,0,0,0,0,0,0,1
"DATA.753552",0,0,0,1,0,1,0,1,0,0,0,0,0,1
"DATA.753551",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.753548",0,0,0,1,0,1,0,0,1,1,0,0,1,1
"DATA.753547",0,0,0,0,0,1,0,0,0,1,0,0,0,0
"DATA.753546",0,0,0,1,0,1,0,0,0,0,0,1,0,1
"DATA.753532",0,0,0,1,0,0,0,0,0,0,0,1,0,1
"DATA.753531",0,0,0,1,0,1,1,1,1,1,1,1,0,1
"DATA.749716",0,0,0,1,0,1,0,1,0,0,0,0,0,0
"DATA.749715",0,0,0,1,0,1,0,0,0,0,0,0,0,0
"DATA.749711",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"DATA.735784",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"DATA.724872",0,0,0,1,0,1,0,0,0,0,0,0,0,1
"DATA.724863",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.724859",0,0,0,0,0,1,0,0,0,0,0,1,0,1
"DATA.713878",0,0,0,1,0,1,0,0,0,0,0,0,0,0
"DATA.688121",0,0,0,1,0,1,0,0,0,1,1,0,0,1
"DATA.688031",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.688027",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.688025",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.688023",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.688021",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.688014",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.688013",0,0,0,0,0,1,0,0,0,0,1,0,0,0
"DATA.688007",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"DATA.688006",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"DATA.688001",0,0,0,0,0,1,0,0,0,0,1,1,0,1
"DATA.687997",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.687983",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"DATA.687804",0,0,0,1,0,1,0,0,0,0,0,0,0,0
"DATA.687600",0,0,0,1,0,1,0,0,0,1,0,0,0,0
"DATA.687590",0,0,0,1,0,1,0,0,0,0,0,0,0,1
"DATA.687568",0,0,0,0,0,1,0,0,0,1,0,0,0,1
"DATA.687562",0,0,0,1,0,1,0,0,0,0,0,0,0,1
"DATA.684681",0,0,0,1,0,1,0,0,0,0,0,0,0,1
"DATA.684072",0,0,0,1,0,1,0,0,0,1,0,0,0,0
"DATA.684062",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DATA.684059",0,0,0,0,0,1,0,0,0,0,1,0,0,0
"DATA.684057",0,0,0,0,0,1,0,0,0,0,1,0,0,0
"DATA.683665",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"DATA.1331050",0,0,0,1,0,1,0,0,0,0,0,0,0,0
"DATA.1331049",0,0,1,1,0,1,0,0,0,0,0,0,0,1
"DATA.1331040",0,0,0,1,0,1,0,0,0,1,0,1,0,1
"DATA.1331039",0,0,0,1,0,1,0,0,0,0,0,0,0,0
"DATA.1331037",0,0,0,0,0,1,0,0,1,1,1,0,0,1
"DATA.1331035",0,0,0,0,0,1,1,0,1,1,0,0,0,1
"DATA.1331034",0,0,0,1,0,1,0,0,0,1,0,0,0,1
"DATA.1331032",0,0,0,1,0,1,0,0,0,0,0,0,0,1
"DATA.1331025",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.1330987",0,0,0,0,0,1,0,0,0,1,0,0,0,1
"DATA.1330985",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"DATA.1330984",0,0,0,0,0,1,0,0,0,1,0,0,0,1
"DATA.1330983",0,0,1,1,0,1,0,0,0,1,0,0,0,1
"DATA.1330982",0,0,0,0,0,1,0,0,0,0,1,0,0,1
"DATA.1330972",0,0,0,0,0,1,0,0,0,1,0,0,0,0
"DATA.1330950",0,0,0,0,0,1,0,0,0,1,0,0,0,1
"DATA.1330947",0,0,1,1,0,1,0,0,0,1,1,0,0,1
"DATA.1330942",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"DATA.1330935",0,0,0,1,0,1,0,0,0,0,0,0,0,0
"DATA.1330931",0,0,0,0,0,1,0,0,1,0,0,0,1,1
"DATA.1327774",0,0,0,1,0,1,0,0,1,1,0,0,0,1
"DATA.1327768",0,0,0,0,0,1,0,0,0,1,0,0,0,1
"DATA.1327766",0,0,0,1,0,1,0,0,0,1,0,0,0,1
"DATA.1323913",0,0,0,1,0,1,0,0,0,1,1,1,0,1
"DATA.1322224",0,0,0,1,0,1,0,0,0,1,0,0,0,0
"DATA.1303897",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.1303896",0,0,0,1,0,1,1,0,1,1,1,0,0,1
"DATA.1299075",0,0,0,0,0,1,0,0,0,1,0,0,0,1
"DATA.1298352",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.1297449",0,0,0,1,0,1,0,0,1,0,0,0,0,1
"DATA.1297447",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.1297446",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"DATA.1297439",0,0,0,0,0,1,0,0,0,1,0,0,0,1
"DATA.1295741",0,0,0,1,0,1,0,0,0,1,0,0,0,1
"DATA.1295740",0,0,1,0,0,1,0,0,1,1,0,0,1,1
"DATA.1290769",0,0,0,0,0,1,0,0,0,0,0,1,0,1
"DATA.1290455",0,0,0,1,0,1,0,0,0,0,0,1,0,1
"DATA.1240193",0,0,0,0,0,1,0,0,0,1,0,0,0,0
"DATA.1240189",0,0,0,1,0,1,0,0,0,0,0,0,0,0
"DATA.1240183",0,0,0,1,0,1,0,0,0,0,0,0,0,1
"DATA.1240182",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.1240181",0,0,0,0,0,1,0,0,0,1,0,0,0,0
"DATA.1240173",0,0,0,1,0,1,0,0,0,0,0,1,0,1
"DATA.1240128",0,0,0,1,0,1,0,0,0,0,1,1,0,1
